Metrica,Periodo,Ambito,Italiani,Stranieri
Presenze,2015-08,Esercizi extralberghieri,671677,474841
Presenze,2015-09,Esercizi alberghieri,424185,462847
Presenze,2015-09,Esercizi extralberghieri,131539,210985
Presenze,2015-10,Esercizi alberghieri,103338,226227
Presenze,2015-10,Esercizi extralberghieri,61162,55996
Presenze,2015-11,Esercizi alberghieri,74560,39773
Presenze,2015-11,Esercizi extralberghieri,49028,14302
Presenze,2015-12,Esercizi alberghieri,667369,192831
Presenze,2015-12,Esercizi extralberghieri,170476,39422
Arrivi,2016-01,Esercizi alberghieri,220148,102355
Arrivi,2016-01,Esercizi extralberghieri,30831,17631
Arrivi,2016-02,Esercizi alberghieri,200542,119357
Arrivi,2016-02,Esercizi extralberghieri,28995,20025
Arrivi,2016-03,Esercizi alberghieri,197535,121247
Arrivi,2016-03,Esercizi extralberghieri,31941,26411
Arrivi,2016-04,Esercizi alberghieri,61305,53899
Arrivi,2016-04,Esercizi extralberghieri,17907,14750
Arrivi,2016-05,Esercizi alberghieri,49544,99453
Arrivi,2016-05,Esercizi extralberghieri,17141,51454
Arrivi,2016-06,Esercizi alberghieri,107814,104030
Arrivi,2016-06,Esercizi extralberghieri,33931,40699
Arrivi,2016-07,Esercizi alberghieri,283235,153986
Arrivi,2016-07,Esercizi extralberghieri,98017,101650
Arrivi,2016-08,Esercizi alberghieri,342744,126383
Arrivi,2016-08,Esercizi extralberghieri,120608,91948
Arrivi,2016-09,Esercizi alberghieri,132342,135450
Arrivi,2016-09,Esercizi extralberghieri,40525,56031
Arrivi,2016-10,Esercizi alberghieri,63735,77604
Arrivi,2016-10,Esercizi extralberghieri,17876,19289
Arrivi,2016-11,Esercizi alberghieri,40778,16012
Arrivi,2016-11,Esercizi extralberghieri,10055,2573
Arrivi,2016-12,Esercizi alberghieri,235364,45521
Arrivi,2016-12,Esercizi extralberghieri,52312,7588
Presenze,2016-01,Esercizi alberghieri,890460,498180
Presenze,2016-01,Esercizi extralberghieri,167732,93685
Presenze,2016-02,Esercizi alberghieri,748909,747866
Presenze,2016-02,Esercizi extralberghieri,120353,133559
Presenze,2016-03,Esercizi alberghieri,774685,659946
Presenze,2016-03,Esercizi extralberghieri,133344,151444
Presenze,2016-04,Esercizi alberghieri,127599,200187
Presenze,2016-04,Esercizi extralberghieri,65128,55445
Presenze,2016-05,Esercizi alberghieri,102569,326371
Presenze,2016-05,Esercizi extralberghieri,65968,222656
Presenze,2016-06,Esercizi alberghieri,362150,366911
Presenze,2016-06,Esercizi extralberghieri,143644,184077
Presenze,2016-07,Esercizi alberghieri,1378306,548440
Presenze,2016-07,Esercizi extralberghieri,480173,507130
Presenze,2016-08,Esercizi alberghieri,1832856,480799
Presenze,2016-08,Esercizi extralberghieri,695600,538286
Presenze,2016-09,Esercizi alberghieri,484648,481036
Presenze,2016-09,Esercizi extralberghieri,158140,241835
Presenze,2016-10,Esercizi alberghieri,137650,264804
Presenze,2016-10,Esercizi extralberghieri,65195,78491
Presenze,2016-11,Esercizi alberghieri,74765,44508
Presenze,2016-11,Esercizi extralberghieri,44990,12507
Presenze,2016-12,Esercizi alberghieri,654120,184437
Presenze,2016-12,Esercizi extralberghieri,165150,34034
Arrivi,2017-01,Esercizi alberghieri,223928,95112
Arrivi,2017-01,Esercizi extralberghieri,33476,17229
Arrivi,2017-02,Esercizi alberghieri,192409,129781
Arrivi,2017-02,Esercizi extralberghieri,27885,22529
Arrivi,2017-03,Esercizi alberghieri,176122,102066
Arrivi,2017-03,Esercizi extralberghieri,25964,18266
Arrivi,2017-04,Esercizi alberghieri,89384,86886
